id,name,abbreviation,details,localization,morpho_code,snomed_code,snomed_name,topo_code,created_on,user_created
1,Non-small cell lung cancer,NSCLC,non-small cell carcinoma,LUNG,8046/3,254637007,Non-small cell lung cancer (disorder),C34.9,2020-07-14 22:07:45.959574+00,f
2,Squamous cell carcinoma of lung,LSCC,squamous cell carcinoma,LUNG,8070/3,254634000,Squamous cell carcinoma of lung (disorder),C34.9,2020-07-14 22:07:45.959574+00,f
3,Adenocarcinoma of lung,"",adenocarcinoma,LUNG,8140/3,254626006,Adenocarcinoma of lung (disorder),C34.9,2020-07-14 22:07:45.959574+00,f
4,Large cell carcinoma of lung,LCC,large cell carcinoma,LUNG,8012/3,254629004,Large cell carcinoma of lung (disorder),C34.9,2020-07-14 22:07:45.959574+00,f
5,Small cell carcinoma of lung,SCLC,small cell carcinoma,LUNG,8041/3,254632001,Small cell carcinoma of lung (disorder),C34.9,2020-07-14 22:07:45.959574+00,f
6,Malignant melanoma of skin,"",skin melanoma,SKIN,8720/3,93655004,Malignant melanoma of skin (disorder),C44.9,2020-07-14 22:07:45.959574+00,f
7,Superficial spreading malignant melanoma of skin,"",superficial spreading melanoma,SKIN,8743/3,254730000,Superficial spreading malignant melanoma of skin (disorder),C44.9,2020-07-14 22:07:45.959574+00,f
8,Nodular malignant melanoma of skin,"",nodular melanoma,SKIN,8721/3,254731001,Nodular malignant melanoma of skin (disorder),C44.9,2020-07-14 22:07:45.959574+00,f
9,Acral lentiginous malignant melanoma of skin,"",acral-lentiginous melanoma,SKIN,8744/3,254732008,Acral lentiginous malignant melanoma of skin (disorder),C44.9,2020-07-14 22:07:45.959574+00,f
10,Lentigo maligna melanoma,"",lentigo maligna melanoma,SKIN,8742/3,302837001,Lentigo maligna melanoma (disorder),C44.9,2020-07-14 22:07:45.959574+00,f
11,Carcinoma of breast,"",carcinoma,BREAST,8010/3,254838004,Carcinoma of breast (disorder),C50.9,2020-07-14 22:07:45.959574+00,f
12,Infiltrating duct carcinoma of breast,"",invasive ductal carcinoma in situ,BREAST,8230/2,408643008,Infiltrating duct carcinoma of breast (disorder),C50.9,2020-07-14 22:07:45.959574+00,f
13,Lobular carcinoma of breast,"",lobular carcinoma,BREAST,8520/3,278054005,Lobular carcinoma of breast (disorder),C50.9,2020-07-14 22:07:45.959574+00,f
14,Adenocarcinoma of colorectum,"",colorectal adenocarcinoma,COLORECTUM,8140/3,781382000,Malignant neoplasm of colon and/or rectum (disorder),"C18.9, C19.9, C20.9",2020-07-14 22:07:45.959574+00,f
15,Adenocarcinoma of colorectum,"",adenocarcinoma of colon,COLON,8140/3,1701000119104,Primary adenocarcinoma of colon (disorder),C18.9,2020-07-14 22:07:45.959574+00,f
16,Adenocarcinoma of colorectum,"",adenocarcinoma of the recto sigmoid junction,RECTO SIGMOID JUNCTION,8140/3,425178004,Adenocarcinoma of rectosigmoid junction (disorder),C19.9,2020-07-14 22:07:45.959574+00,f
17,Adenocarcinoma of colorectum,"",adenocarcinoma of rectum,RECTUM,8140/3,254582000,Adenocarcinoma of rectum (disorder),C20.9,2020-07-14 22:07:45.959574+00,f
18,Transitional cell carcinoma of kidney,KTCC,transitional cell carcinoma,KIDNEY,8120/3,408642003,Transitional cell carcinoma of kidney (disorder),C64.9,2020-07-14 22:07:45.959574+00,f
19,Renal cell carcinoma,RCC,renal cell carcinoma,KIDNEY,8312/3,702391001,Renal cell carcinoma (disorder),C64.9,2020-07-14 22:07:45.959574+00,f
20,Nephroblastoma,"",Wilms tumor,KIDNEY,8960/3,302849000,Nephroblastoma (disorder),C64.9,2020-07-14 22:07:45.959574+00,f
21,Adenocarcinoma of prostate,"",adenocarcinoma,PROSTATE,8140/3,399490008,Adenocarcinoma of prostate (disorder),C61.9,2020-07-14 22:07:45.959574+00,f
22,Leiomyosarcoma of prostate,"",leiomyosarcoma,PROSTATE,8890/3,443719001,Leiomyosarcoma (disorder),C61.9,2020-07-14 22:07:45.959574+00,f
23,Primary rhabdomyosarcoma of male genital organ,"",rhabdomyosarcoma,PROSTATE,8900/3,721574009,Primary rhabdomyosarcoma of male genital organ (disorder),C61.9,2020-07-14 22:07:45.959574+00,f
24,Prostatic intraepithelial neoplasia,"",prostatic intraepithelial neoplasia,PROSTATE,8148/_,254901000,Prostatic intraepithelial neoplasia (disorder),C61.9,2020-07-14 22:07:45.959574+00,f
25,Non-Hodgkin's lymphoma,NHL,non Hodgkin's lymphoma,LYMPHOMA,9591/3,118601006,Non-Hodgkin's lymphoma (disorder),C77.9,2020-07-14 22:07:45.959574+00,f
26,Hodgkin's lymphoma,HL,Hodgkin lymphoma,LYMPHOMA,9650/3,118599009,Hodgkin's disease (disorder),C77.9,2020-07-14 22:07:45.959574+00,f
27,"Acute myeloid leukemia, disease",AML,acute myeloid leukemia,LEUKEMIA,9861/3,91861009,"Acute myeloid leukemia, disease (disorder)",C42._,2020-07-14 22:07:45.959574+00,f
28,"Acute lymphoid leukemia, disease",ALL,acute lymphoid leukemia,LEUKEMIA,9835/3,91857003,"Acute lymphoid leukemia, disease (disorder)",C42._,2020-07-14 22:07:45.959574+00,f
29,"Chronic myeloid leukemia, disease",CML,chronic myeloid leukemia,LEUKEMIA,9863/3,92818009,"Chronic myeloid leukemia, disease (disorder)",C42._,2020-07-14 22:07:45.959574+00,f
